Algorithm, Descending?, n, Runtime (s), SOL, OPT, SOL/OPT
ptas_ff, True, 100, 0.003311, 50, 47, 1.06383
ptas_ff, True, 100, 0.003584, 50, 47, 1.06383
ptas_ff, True, 100, 0.003481, 48, 46, 1.043478
ptas_ff, True, 100, 0.003419, 62, 56, 1.107143
ptas_ff, True, 100, 0.003533, 53, 51, 1.039216
ptas_ff, True, 100, 0.003412, 48, 47, 1.021277
ptas_ff, True, 100, 0.003632, 54, 50, 1.08
ptas_ff, True, 100, 0.003563, 56, 53, 1.056604
ptas_ff, True, 100, 0.003426, 59, 54, 1.092593
ptas_ff, True, 100, 0.003386, 53, 50, 1.06
ptas_ff, True, 100, 0.003505, 52, 50, 1.04
ptas_ff, True, 100, 0.003444, 55, 51, 1.078431
ptas_ff, True, 100, 0.003413, 52, 51, 1.019608
ptas_ff, True, 100, 0.003547, 56, 53, 1.056604
ptas_ff, True, 100, 0.003309, 51, 49, 1.040816
ptas_ff, True, 100, 0.003471, 54, 52, 1.038462
ptas_ff, True, 100, 0.003198, 49, 47, 1.042553
ptas_ff, True, 100, 0.003474, 63, 59, 1.067797
ptas_ff, True, 100, 0.003382, 53, 51, 1.039216
ptas_ff, True, 100, 0.003501, 56, 53, 1.056604
ptas_ff, True, 100, 0.003456, 61, 56, 1.089286
ptas_ff, True, 100, 0.003522, 49, 48, 1.020833
ptas_ff, True, 100, 0.003989, 53, 50, 1.06
ptas_ff, True, 100, 0.002925, 50, 46, 1.086957
ptas_ff, True, 100, 0.002945, 58, 53, 1.09434
ptas_ff, True, 100, 0.002985, 58, 55, 1.054545
ptas_ff, True, 100, 0.002989, 48, 46, 1.043478
ptas_ff, True, 100, 0.002994, 56, 52, 1.076923
ptas_ff, True, 100, 0.00295, 57, 53, 1.075472
ptas_ff, True, 100, 0.00296, 59, 52, 1.134615
ptas_ff, True, 100, 0.003075, 54, 51, 1.058824
ptas_ff, True, 100, 0.003045, 55, 51, 1.078431
ptas_ff, True, 100, 0.002935, 56, 52, 1.076923
ptas_ff, True, 100, 0.003013, 52, 50, 1.04
ptas_ff, True, 100, 0.003073, 55, 54, 1.018519
ptas_ff, True, 100, 0.002932, 48, 47, 1.021277
ptas_ff, True, 100, 0.002952, 51, 49, 1.040816
ptas_ff, True, 100, 0.003091, 58, 54, 1.074074
ptas_ff, True, 100, 0.003037, 55, 53, 1.037736
ptas_ff, True, 100, 0.003096, 53, 50, 1.06
ptas_ff, True, 100, 0.003053, 56, 51, 1.098039
ptas_ff, True, 100, 0.002921, 53, 51, 1.039216
ptas_ff, True, 100, 0.002909, 49, 48, 1.020833
ptas_ff, True, 100, 0.003004, 58, 54, 1.074074
ptas_ff, True, 100, 0.003111, 55, 52, 1.057692
ptas_ff, True, 100, 0.003055, 59, 55, 1.072727
ptas_ff, True, 100, 0.002839, 53, 50, 1.06
ptas_ff, True, 100, 0.003107, 58, 55, 1.054545
ptas_ff, True, 100, 0.002973, 57, 54, 1.055556
ptas_ff, True, 100, 0.003076, 55, 53, 1.037736
ptas_ff, True, 100, 0.003088, 59, 53, 1.113208
ptas_ff, True, 100, 0.003061, 57, 53, 1.075472
ptas_ff, True, 100, 0.003179, 58, 53, 1.09434
ptas_ff, True, 100, 0.003105, 51, 49, 1.040816
ptas_ff, True, 100, 0.00299, 50, 47, 1.06383
ptas_ff, True, 100, 0.002812, 65, 58, 1.12069
ptas_ff, True, 100, 0.002857, 49, 48, 1.020833
ptas_ff, True, 100, 0.002913, 62, 56, 1.107143
ptas_ff, True, 100, 0.003035, 58, 54, 1.074074
ptas_ff, True, 100, 0.002893, 49, 48, 1.020833
ptas_ff, True, 100, 0.003084, 54, 48, 1.125
ptas_ff, True, 100, 0.00306, 54, 49, 1.102041
ptas_ff, True, 100, 0.003294, 61, 55, 1.109091
ptas_ff, True, 100, 0.002816, 53, 51, 1.039216
ptas_ff, True, 100, 0.003116, 56, 51, 1.098039
ptas_ff, True, 100, 0.003009, 60, 56, 1.071429
ptas_ff, True, 100, 0.002968, 51, 49, 1.040816
ptas_ff, True, 100, 0.003087, 51, 48, 1.0625
ptas_ff, True, 100, 0.003131, 52, 50, 1.04
ptas_ff, True, 100, 0.003065, 55, 50, 1.1
ptas_ff, True, 100, 0.0028, 48, 46, 1.043478
ptas_ff, True, 100, 0.003233, 50, 48, 1.041667
ptas_ff, True, 100, 0.002921, 59, 56, 1.053571
ptas_ff, True, 100, 0.00326, 58, 53, 1.09434
ptas_ff, True, 100, 0.003779, 57, 53, 1.075472
ptas_ff, True, 100, 0.002989, 47, 46, 1.021739
ptas_ff, True, 100, 0.003093, 54, 51, 1.058824
ptas_ff, True, 100, 0.002935, 55, 53, 1.037736
ptas_ff, True, 100, 0.002869, 52, 49, 1.061224
ptas_ff, True, 100, 0.002927, 54, 51, 1.058824
ptas_ff, True, 100, 0.003096, 60, 54, 1.111111
ptas_ff, True, 100, 0.003482, 53, 48, 1.104167
ptas_ff, True, 100, 0.00289, 44, 43, 1.023256
ptas_ff, True, 100, 0.003313, 48, 45, 1.066667
ptas_ff, True, 100, 0.002924, 57, 53, 1.075472
ptas_ff, True, 100, 0.00296, 57, 53, 1.075472
ptas_ff, True, 100, 0.003155, 49, 48, 1.020833
ptas_ff, True, 100, 0.003043, 54, 50, 1.08
ptas_ff, True, 100, 0.002855, 63, 58, 1.086207
ptas_ff, True, 100, 0.003097, 59, 55, 1.072727
ptas_ff, True, 100, 0.002969, 58, 54, 1.074074
ptas_ff, True, 100, 0.002597, 49, 46, 1.065217
ptas_ff, True, 100, 0.002985, 53, 51, 1.039216
ptas_ff, True, 100, 0.003157, 55, 52, 1.057692
ptas_ff, True, 100, 0.003198, 61, 55, 1.109091
ptas_ff, True, 100, 0.00292, 54, 51, 1.058824
ptas_ff, True, 100, 0.003076, 57, 54, 1.055556
ptas_ff, True, 100, 0.003025, 50, 48, 1.041667
ptas_ff, True, 100, 0.002987, 62, 56, 1.107143
ptas_ff, True, 100, 0.002985, 49, 47, 1.042553
ptas_ff, True, 100, 0.003111, 52, 48, 1.083333
ptas_ff, True, 100, 0.003028, 50, 49, 1.020408
ptas_ff, True, 100, 0.002896, 59, 55, 1.072727
ptas_ff, True, 100, 0.00334, 52, 50, 1.04
ptas_ff, True, 100, 0.003117, 52, 49, 1.061224
ptas_ff, True, 100, 0.003299, 57, 53, 1.075472
ptas_ff, True, 100, 0.002818, 47, 45, 1.044444
ptas_ff, True, 100, 0.00309, 53, 48, 1.104167
ptas_ff, True, 100, 0.002996, 57, 52, 1.096154
ptas_ff, True, 100, 0.002896, 58, 54, 1.074074
ptas_ff, True, 100, 0.00309, 49, 47, 1.042553
ptas_ff, True, 100, 0.002811, 48, 47, 1.021277
ptas_ff, True, 100, 0.002943, 50, 47, 1.06383
ptas_ff, True, 100, 0.003068, 53, 51, 1.039216
ptas_ff, True, 100, 0.003078, 55, 51, 1.078431
ptas_ff, True, 100, 0.002762, 51, 50, 1.02
ptas_ff, True, 100, 0.002643, 50, 48, 1.041667
ptas_ff, True, 100, 0.002961, 54, 51, 1.058824
ptas_ff, True, 100, 0.003003, 50, 48, 1.041667
ptas_ff, True, 100, 0.002834, 59, 54, 1.092593
ptas_ff, True, 100, 0.002993, 58, 54, 1.074074
ptas_ff, True, 100, 0.003146, 55, 51, 1.078431
ptas_ff, True, 100, 0.003089, 54, 50, 1.08
ptas_ff, True, 100, 0.002951, 50, 48, 1.041667
ptas_ff, True, 100, 0.002788, 48, 46, 1.043478
ptas_ff, True, 100, 0.002907, 52, 49, 1.061224
ptas_ff, True, 100, 0.002908, 54, 51, 1.058824
ptas_ff, True, 100, 0.003, 57, 50, 1.14
