Algorithm, Descending?, n, Runtime (s), SOL, OPT, SOL/OPT,Epsilon
ptas_awfd, True,100000,6.388077,62573,49953,1.252637,0.5
ptas_awfd, True,100000,6.410948,62489,49938,1.251332,0.5
ptas_awfd, True,100000,6.427341,62924,50050,1.257223,0.5
ptas_awfd, True,100000,6.418161,62405,49845,1.251981,0.5
ptas_awfd, True,100000,6.43334,62721,50072,1.252616,0.5
ptas_awfd, True,100000,6.408375,62760,50071,1.25342,0.5
ptas_awfd, True,100000,6.429134,62677,49988,1.253841,0.5
ptas_awfd, True,100000,6.447729,62679,49938,1.255136,0.5
ptas_awfd, True,100000,6.429256,62651,50077,1.251093,0.5
ptas_awfd, True,100000,6.440355,62606,49962,1.253072,0.5
ptas_awfd, True,100000,6.427847,62525,49936,1.252103,0.5
ptas_awfd, True,100000,6.465516,62492,49915,1.251968,0.5
ptas_awfd, True,100000,6.473074,62823,50118,1.253502,0.5
ptas_awfd, True,100000,6.421817,62669,50018,1.252929,0.5
ptas_awfd, True,100000,6.434076,62749,50076,1.253075,0.5
ptas_awfd, True,100000,6.437092,62664,50038,1.252328,0.5
ptas_awfd, True,100000,6.448957,62622,49983,1.252866,0.5
ptas_awfd, True,100000,6.447328,62653,49963,1.253988,0.5
ptas_awfd, True,100000,6.428932,62611,49969,1.252997,0.5
ptas_awfd, True,100000,6.449167,62621,50068,1.250719,0.5
ptas_awfd, True,100000,6.459544,62578,49960,1.252562,0.5
ptas_awfd, True,100000,6.4087,62720,49981,1.254877,0.5
ptas_awfd, True,100000,6.441476,62609,49983,1.252606,0.5
ptas_awfd, True,100000,6.445319,62754,50128,1.251875,0.5
ptas_awfd, True,100000,6.446042,62661,49908,1.25553,0.5
ptas_awfd, True,100000,6.431805,62863,50158,1.2533,0.5
ptas_awfd, True,100000,6.41753,62549,49850,1.254744,0.5
ptas_awfd, True,100000,6.420631,62599,49955,1.253108,0.5
ptas_awfd, True,100000,6.479616,62782,50064,1.254035,0.5
ptas_awfd, True,100000,6.418024,62666,50014,1.252969,0.5
ptas_awfd, True,100000,6.432329,62581,49949,1.252898,0.5
ptas_awfd, True,100000,6.431412,62793,50022,1.255308,0.5
ptas_awfd, True,100000,6.476583,62595,49990,1.25215,0.5
ptas_awfd, True,100000,6.412668,62602,50006,1.25189,0.5
